reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
3fb368f9-8a64-43cf-a537-77854cd21459,Barış Süzan,https://play-lh.googleusercontent.com/a/ACg8ocJUFAMr-KNbEnWLEQrxPxlIYJYaBg-0xX1RgMhyqP6sui-Y=mo,2 sezondur oynuyorum ben hiç inanmadım 1.sezonda küçük kazanç sağladım tabi sezon bitiminde kalmıştım. Ancak oyun gerçekten para kazandırıyor reklamlar olabilir ancak 30 saniye ya da 1 dakka reklamlar yok zaten 3 reklam izlemen yeterli 1 dakka bile yapmıyor herkese gönülden tavsiye ederim oyunun kurucularına tebrik ediyorum emeklerine sağlık iyi oyunlar herkese,5,8,2.0.1,2025-07-25 19:28:56,,,2.0.1
1513ea82-8eb4-4fe4-b94d-2bca767eabaf,Kaya Kaya,https://play-lh.googleusercontent.com/a/ACg8ocLzpsifj7kKjcpMHvRs_ymQEpm5hDSzTdMKB7nSD--dBhyPng=mo,"ortada oyun filan yok, reklam izle bol bol",1,1,2.0.0,2025-07-23 18:58:29,"Merhaba Başkan. Oyun içindeki reklamların hepsi opsiyoneldir, oyundaki ilerlemenizi hızlandırmak, oyunu içi gelişiminizi 'boost'lamak amacıyla istediğiniz zaman ve istediğiniz kadar reklam izliyorsunuz. Bunların haricinde oyunumuzu sürekli geliştirip, yenilikler getiriyoruz.",2025-08-12 10:28:55,2.0.0
e25e154a-d5ad-43de-9f92-8ba870d8d729,eser ud,https://play-lh.googleusercontent.com/a-/ALV-UjXiSQyUPBaZsn5HkC2qzTRi9wz71JovFNcctkEAQQCjRVtpzyJP,super oyun fakat paribu onay bekliyor diyor kac gundür düzeltilirse sevinirim,5,1,2.0.0,2025-07-22 13:59:13,"Merhaba Başkan, cüzdan onay süreçleri yoğunluğa göre değişiyor fakat sezon sonundan önce mutlaka hepsi onaylanmış oluyor.",2025-08-12 10:29:31,2.0.0
8852c191-a5a1-448f-8b22-53dfb1516d4e,Ali Kardaş,https://play-lh.googleusercontent.com/a-/ALV-UjUMlQAv6nnuxehanD4VROB3j3YD_8lu0iq0JTRNjjlUYNhad8Cz,oyuna daha yeni başladım yorumlara ve tavsiyelere bakarak ilerliyorum.daha çok referans sistemi üzerine çalışıyor bakalım eğer kazanç saglarsam tekrar değerlendirme yaparım,5,1,,2025-07-21 21:02:15,"Merhaba Başkan, değerlendirmen için çok teşekkürler. Sezon sonu ödüllerimiz 4 farklı kategoride değerlendiriliyor, kullanıcı daveti bunlardan bir tanesi. Diğer kriterler saatlik kazanç, lig performansı ve taktik puan. Herhangi bir sorun olursa Telegram'daki Topluluk Kanalı'na ulaşabilirsin.",2025-08-12 10:38:51,
7f13e64f-65eb-4a65-abdb-a7217b99736d,Ali emir Yılmaz,https://play-lh.googleusercontent.com/a-/ALV-UjVDfLoOLcdno67OvhqjASaQKmWUsu5IoIzw5qs5RHZDayx32mk,abi lütfen siz günlük görevlerde transfer yap diyorsunuz ama transfer 3 kez yapınca bı daha olmuyo lütfen duzeltin,5,2,2.0.0,2025-07-14 10:42:14,Merhaba yorumunuz için teşekkürler. Bununla ilgili düzenlememiz canlı versiyona alınıyor! Gelişmeleri Telegram'daki Topluluk Kanalımızdan takip edebilirsiniz.,2025-07-14 11:18:22,2.0.0
c7782b32-bba7-486e-ae2b-70e9e2eb0aa3,halil BÜYÜKDUMLU,https://play-lh.googleusercontent.com/a-/ALV-UjXgFeiD62eCpBX3e5RbxFss2KZjlmKgdnvncajnmt4nxv4sykx3,paribu cüzdan ekledim. onaylanması 2 iş günü sürebilir diyor. ama 4 gün oldu hala onaylanmadı. neyi bekliyorlar onaylamak için.,2,1,2.0.0,2025-07-11 08:47:10,Merhaba Başkan! Cüzdan onaylarımız ortalama 2 iş günü sürebiliyor ama nadiren de olsa bu süreyi bazı sebeplerden aşabiliyoruz. Telegram Topluluk Kanalımızdan bize ulaşırsanız konuyla ilgili aksiyon alalım.,2025-07-14 11:20:08,2.0.0
bfc5e561-125f-4ee0-badf-2d942a9d6e5c,Mustafa Budak,https://play-lh.googleusercontent.com/a/ACg8ocJcRdYge_lGgr-Zt7tPVZntdXeYecPiD78hMzX_hazFHC-9yQ=mo,oyunun içine ettiler ilgilenen yok,1,1,2.0.0,2025-07-10 23:16:15,"Merhaba Başkan, bu şekilde hissettiğine üzüldük açıkçası. Yeni geliştirmelerde kullanıcılar bazen ilk başta yabancılık çekebiliyor ama zaman içinde çok keyifli bir hale geldiği farkediliyor. Oynamaya devam etmeni ve beraber bu yolda daha uzun zaman yürümeyi arzu ederiz.",2025-07-14 11:21:09,2.0.0
eeea1bdc-3a49-483a-8936-b1d30bbb29c4,Esad Urgun,https://play-lh.googleusercontent.com/a/ACg8ocIG-KaZjTT0EmxZGMGwiX1lQvRm_1ppLBH0wmqNF4e2uoNPXw=mo,oyun acilmiyor guncelleme istiyor,5,0,1.0.6,2025-07-07 22:38:07,Merhaba Başkan! Yeni sürümle beraber oyunu cihazınızda güncellemeniz gerekiyor. Eğer bununla ilgili bir problem yaşıyorsan Telegram Topluluk Kanalımızdan bize ulaşabilirsiniz.,2025-07-14 11:22:05,1.0.6
7aec78d0-f8ed-4fda-a62d-f3b4cebb811d,Erhan Ulusoy,https://play-lh.googleusercontent.com/a-/ALV-UjUEFuwrXaT3ITLE_Z_Pe0zBelJEZcS6-OzUWloWsotfVH5rmRuu,ama oyunu güncelleyemiyorum bu güncelleme den sonra telegram harici giriş yapamıyorum,5,0,1.0.6,2025-07-07 22:29:01,Merhaba Başkan! Yeni güncelemeden sonra bununla ilgili sorun yaşayan kullanıcılarımız Telegramdaki Topluluk Kanalımızdan takip edebilir ve destek alabilirsiniz.,2025-07-14 11:23:04,1.0.6
baf6f891-4118-4fa8-89ad-55f4761ea2cc,Brawl Stars,https://play-lh.googleusercontent.com/a/ACg8ocKFtxP7_vsNNlTF5yet7_Ziqim1os3IDa3GIaaKoc83wecO6g=mo,Aşırı fazla bug var,1,1,,2025-07-07 22:19:27,Merhaba Başkan! Oyunda karşılaşmış olabileceğiniz her türlü sorunla ilgili ekibimiz hızlı bir şekilde aksiyon alıyor. Bununla ilgili geri bildirimleriniz olursa Telegram Topluluk Kanalımızdan bize ulaşabilirsiniz.,2025-07-14 11:23:51,
dd2e13e3-4eed-4bf6-b6d8-eb593906a548,Serkan Turhan,https://play-lh.googleusercontent.com/a-/ALV-UjXzt5nQxmsicY3AdEwzIhwwmgRq37tFQpQmwBZYTNu2nlIxkM8,Güzel bir oyun. Sıralamada ne kadar iyi olursanız o kadar fazla para kazanırsınız.,5,1,1.0.6,2025-07-07 22:19:07,Merhaba Başkan! Öncelikle güzel yorumun için teşekkür ediyoruz. Sezon sonu ödülünüzü güzel günlerde harcamanızı dileriz.,2025-07-14 11:24:34,1.0.6
54ec5f69-030c-44cf-a763-52f494003625,gkhn brg,https://play-lh.googleusercontent.com/a-/ALV-UjW8S1_9yF1tQ-u1Zoem_ZDNP99OPns2bDk08taeQ48uuzmVOjw,boş zaman kaybı zamaniniza ve gözünüze yazik,1,2,,2025-07-06 18:06:53,"Merhaba, bu şekilde hissetmenize gerçekten üzüldük. Yeni sezonda çıkardığımız yeni versiyonla birlikte daha heyecan verici, daha kazancı bol bir oyun sunmayı hedefliyoruz. Oyunla ilgili geri bildirimlerinizi Telegramdaki Topluluk Kanalımızdan da bize iletebilirsiniz.",2025-07-14 11:25:29,
c6a9257f-7bf4-479d-a34b-9d561aaa3a75,Muzaffer Ünlü,https://play-lh.googleusercontent.com/a/ACg8ocKX2y1dcKxvgc88UuJeoj0hf6--YJl5r8AFZClDYIZ0JmbjZQ=mo,kesinlikle tavsiye etmem getirdiğimiz kullanıcıları kafalarına göre bot sayıp ödül vermiyorlar emek boşa gidiyor. şimdi de paribu kullanıcı sayısını arttırmak için zorla paribuya üyelik açtırıyorlar. uğraşmaya değmez.,1,4,1.0.6,2025-07-04 00:48:31,"Merhaba Başkan, bu şekilde hissetmenize gerçekten üzüldük. Ödül dağıtımında bot ve inaktif referanslarınız için herhangi bir kazanç veremiyoruz; bu kararların tamamen verilere dayalı olduğunu da belirtmek isteriz. Yeniden aramıza dönmeniz dileğiyle.",2025-07-14 11:26:40,1.0.6
